                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.6684,                 1.3916,                 1.7234,                0.68869,                0.81151,                0.84435,                0.57125,                 1.4261,                 1.0282,                 1.5537,               0.000161,               0.000161,               0.000161
                     90,                 1.6595,                 1.3519,                 1.6871,                0.67006,                0.81205,                0.82532,                0.56027,                 1.4181,                 1.0208,                 1.5568,             0.00014862,             0.00014862,             0.00014862
                     91,                 1.5768,                 1.5807,                 1.6581,                0.67743,                0.77079,                0.80834,                0.54646,                 1.4454,                 1.0633,                 1.5719,             0.00013625,             0.00013625,             0.00013625
                     92,                 1.5726,                 1.4674,                 1.6542,                0.73699,                0.65967,                0.80122,                0.53153,                 1.4558,                 1.0996,                 1.5772,             0.00012387,             0.00012387,             0.00012387
                     93,                 1.5095,                 1.3849,                 1.6207,                0.68568,                0.71368,                0.80902,                0.53694,                 1.4356,                 1.1095,                 1.5638,              0.0001115,              0.0001115,              0.0001115
                     94,                 1.5317,                 1.3972,                  1.585,                0.70144,                0.69814,                0.82585,                0.54539,                 1.4175,                 1.1029,                 1.5472,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                 1.4622,                 1.3543,                 1.6068,                0.68039,                0.71635,                0.83663,                 0.5566,                 1.4051,                 1.0713,                 1.5307,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                 1.5175,                  1.348,                 1.6317,                0.65919,                0.80779,                 0.8329,                0.56399,                  1.397,                 1.0398,                 1.5122,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                 1.4778,                 1.3312,                 1.5515,                0.69762,                0.83429,                0.83626,                0.57344,                 1.3921,                 1.0331,                 1.4992,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                 1.4593,                 1.2527,                 1.5758,                0.69733,                0.82056,                0.83788,                0.57928,                 1.3802,                 1.0238,                 1.4879,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 1.4721,                 1.3048,                 1.5599,                 0.6887,                0.82927,                 0.8341,                0.58336,                 1.3748,                 1.0182,                 1.4811,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                 1.5594,                 1.3261,                 1.6565,                0.70474,                  0.829,                0.83519,                0.58218,                 1.3716,                 1.0095,                 1.4775,             2.4875e-05,             2.4875e-05,             2.4875e-05
